 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan-Set/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;68090,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;27236,32;-;13618,16;-;-;-;-;-;-;-;-;-;-;13618,16;-;27236,32;-;-;-;-;5566,54;-;-;-;-;5566,54;-;-;-;7902,50;-;-;-;-;-;-;-;-;-;-;5566,54;-;-;-;-;-;-;5566,54;-;-;13618,16;-;-;13618,16;-;-;-;27236,32;-;-;-;13618,16;13220,55;-;13618,16;-;-;-;-;-;-;13618,16;-;13618,16;-;1093,43;-;8797,13;-;-;-;-;-;-;11133,08;9063,96;1318,39;-;8816,76;47215,01;-;19281,52;15491,13;14914,34;27161,58;-;-;9063,96;32494,43;8520,42;36791,63;179918,42;911343,41;5078910,48;8331292,31;14429642,58;21973702,11;20667175,87;20851582,24;17332828,45;20295902,00;21882762,79;24447203,16;18918841,86;7774211,20;203642226,06
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18212,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5566,54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25447,06;-;416,39;23359,62;31013,61;-;-;34480,37;227065,61;676885,90;1893003,51;5555851,42;11508508,87;19462177,31;18767921,64;18152474,34;15886962,38;19764180,18;22357266,95;20095920,88;14347786,25;7696148,52;176530650,13
"26 Pernambuco";84939,54;-;-;-;19433,21;-;-;-;3479,09;10586,38;-;-;-;9045,64;-;-;-;-;-;-;-;-;-;-;615988,82;-;3479,09;19930,22;171258,01;-;-;15904,40;-;20824,85;-;29323,76;-;13946,96;-;27236,32;5467,14;-;11331,90;13946,96;-;-;13618,16;10707,07;37907,55;-;-;3479,09;-;-;-;12012,71;-;13946,96;-;-;13618,16;-;13946,96;27236,32;3479,09;50939,70;-;3988,20;-;9045,64;-;-;24533,34;3479,09;16655,22;-;-;20339,22;17426,05;-;-;15816,90;-;-;-;2673,06;-;-;-;-;13946,96;18212,78;-;-;-;18779,96;32726,92;-;-;-;18212,78;7206,69;-;-;13946,96;18779,96;13946,96;18779,96;24183,34;18779,96;-;-;13946,96;-;-;13946,96;111485,83;58560,07;-;-;-;9389,98;-;10994,68;-;-;7075,28;-;21675,37;18779,96;47100,38;-;13827,77;6247,80;36425,56;-;77802,64;42231,84;83762,03;85286,01;399577,08;2019031,33;9234658,40;31770364,79;67671212,56;59724343,59;57859346,14;53217562,39;64427118,03;68568479,35;68574117,27;60365149,75;29654660,87;575752634,68
"27 Alagoas";76402,86;-;-;1883,34;-;12419,92;-;-;-;-;-;-;-;-;9213,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76981,91;-;-;13618,16;6013,86;12419,92;-;-;-;-;12216,31;-;-;-;-;13618,16;-;-;-;12419,92;-;-;-;-;12419,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24839,84;-;12419,92;-;-;-;-;-;-;-;-;30158,27;47417,35;-;57716,54;22577,51;4943,98;5850,36;18787,10;33270,43;173739,39;238676,74;647052,74;1962248,79;6307144,41;10959858,07;18266221,90;15840875,36;16971918,74;14739286,47;16568896,90;15822417,52;15061544,41;11753232,88;6097608,32;151928331,36
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43886,26;-;-;17205,99;182,57;-;2813,14;-;-;17395,45;35728,70;403626,17;3543839,72;4845196,95;7336351,13;9695859,73;9286238,63;9382543,30;8351763,70;8939216,96;9209145,14;6652597,88;3721938,34;1795595,15;83281124,91
"29 Bahia";919086,01;-;19347,14;-;19347,14;-;-;-;-;-;-;-;-;-;-;19117,18;-;10681,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19389,17;-;-;-;19347,14;-;-;-;-;-;162617,32;-;-;-;24887,92;-;-;11609,47;-;-;-;-;-;-;-;152588,21;403096,34;19842,44;1329,93;-;-;9319,25;-;-;62359,56;-;-;-;-;21113,21;-;-;38828,91;-;22294,74;-;-;20884,61;-;21411,66;-;62001,49;21047,00;-;-;9019,86;-;-;8763,86;-;-;-;-;20898,33;-;36235,58;21144,96;-;8468,31;51476,06;-;28814,19;-;-;5796,75;68798,62;-;-;50953,65;20168,13;9622,33;9783,73;47359,12;19347,14;39194,14;9999,40;21129,39;48463,47;35207,44;-;11609,47;1813,11;47149,12;9503,39;14113,68;4007,44;4578,90;47740,36;23218,94;39791,97;54437,35;102158,05;38477,76;86117,34;24266,07;218201,28;1165504,47;4944979,00;15134957,86;26344209,51;44703023,74;76037132,20;69003570,60;71859939,61;61076318,08;66469528,85;75072506,40;75568435,34;54802309,06;24556205,93;670117996,36
"31 Minas Gerais";516216,40;-;-;-;-;13618,16;11609,47;-;11609,47;-;-;-;-;-;23218,94;-;-;-;-;20481,50;-;-;-;-;-;-;-;11609,47;11609,47;-;18779,96;-;-;-;-;10574,20;50303,75;19347,14;26410,70;-;-;-;-;-;-;-;-;11609,47;52839,98;11609,47;11609,47;-;11609,47;23218,94;21323,54;11609,47;13692,58;-;-;-;39828,64;19347,14;42566,08;-;24457,34;70990,62;20481,50;30956,61;11609,47;11609,47;-;-;1313,48;-;42848,71;20199,28;-;-;-;32891,26;11609,47;30956,61;-;11609,47;-;60151,19;-;54620,54;-;-;-;-;-;-;19347,14;23218,94;26634,84;25276,34;16860,08;-;30856,57;19347,14;33846,90;63905,59;38694,28;26622,53;3751,72;18312,04;60115,26;13618,16;157962,97;11609,47;50929,13;26113,95;35106,62;21281,79;11609,47;58185,07;23793,72;32891,26;17795,54;49736,93;13618,16;22736,42;34194,99;30603,56;206716,49;160240,48;160310,26;63365,06;9031,79;80496,89;136626,82;45872,02;60258,45;101182,18;167091,01;264727,22;428590,67;1688652,82;6475913,40;21223692,66;41180578,61;93692968,79;158754882,69;142229503,56;148401508,67;127448711,32;141664990,33;152124983,71;152063664,47;121657659,39;58575599,61;1371538953,85
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12419,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3474,37;-;-;-;-;324,90;-;10349,38;-;-;13600,87;100502,09;613580,72;4814533,16;8755177,65;16283297,26;27331731,22;26426544,21;26701871,53;23729945,19;28763384,68;28472171,64;28437767,83;13552301,11;2440058,69;236463036,42
"33 Rio de Janeiro";1460879,30;13618,16;11568,22;16600,24;-;10574,20;13618,16;23034,60;-;-;-;29535,91;27236,32;13618,16;27236,32;27236,32;24192,36;13618,16;-;34766,56;10574,20;27236,32;40854,48;13618,16;11878,61;17207,21;24192,36;13618,16;27236,32;21520,67;27742,82;-;-;10574,20;22662,74;-;-;51428,68;34766,56;13618,16;21148,40;-;10574,20;10574,20;27236,32;27236,32;10574,20;13618,16;94990,92;23378,11;47958,54;49051,93;35279,27;33448,98;112285,18;21210,02;88795,10;87335,53;118283,36;63247,64;717495,55;92540,74;110044,75;128605,72;110159,32;94916,04;67690,82;67220,79;46610,50;129518,41;39268,59;158491,39;187169,89;128028,44;164338,94;45010,63;47385,26;199228,21;55472,81;49624,00;185374,60;79543,39;158483,19;161930,83;130207,49;180140,48;153158,27;17432,74;163898,51;189145,53;286787,80;156682,69;188487,98;317413,15;101225,39;81466,92;401092,33;160120,26;397936,99;76510,60;89850,17;90255,31;2564202,09;757564,65;177309,12;204361,15;188247,52;604735,65;146119,06;421287,14;97082,43;74565,88;327374,06;121813,24;121263,72;291350,21;125729,81;166402,26;178893,12;146418,51;228053,11;135803,76;91717,45;121181,00;266166,76;176080,90;149875,19;216460,67;91150,07;157560,86;168211,75;248594,74;380296,30;678407,61;521431,05;574767,23;611132,29;1133255,57;1227037,97;1960800,30;4221591,17;13231735,73;23790813,67;48819607,27;80512085,68;73338511,52;74623073,99;69284500,51;88522051,27;84823131,25;84228520,52;65775160,04;33373563,31;769815304,57
"35 São Paulo";19471159,98;169538,28;96735,70;75270,26;77388,56;120743,10;58041,42;144283,10;98449,05;228214,70;527556,74;9784,32;127540,45;59507,91;78277,56;96945,85;38117,20;58041,42;49268,48;68615,62;147891,59;78277,56;285866,64;39091,89;58078,78;13618,16;113020,86;38694,28;195457,73;143009,81;120459,09;995079,30;105581,70;543048,70;239677,07;117884,10;77388,56;80078,82;80837,77;128458,30;30810,34;135365,71;150084,77;204785,24;141253,36;151740,21;125831,01;125522,68;109964,42;127066,01;86074,48;140596,06;58930,42;218442,97;151061,90;108542,19;260135,78;1039687,54;118186,64;193500,69;252017,70;166581,27;193852,12;82632,28;204194,80;136965,90;100701,99;109225,24;144861,99;1622100,09;215498,74;142961,09;376447,92;58930,42;162521,30;95647,89;171896,11;158014,53;153805,49;679199,73;734072,30;121403,07;131639,56;187070,65;231269,55;152159,07;140710,75;170466,32;141033,74;357515,14;143527,30;215933,29;269084,12;164957,71;143192,04;205521,78;337722,35;179492,83;262584,32;488018,63;133536,22;204483,42;89001,53;178710,43;149644,99;114320,50;151404,19;144801,18;373067,70;151792,66;218107,45;164778,60;133427,25;179778,78;142592,45;381188,66;78522,60;473431,54;221928,65;288544,23;242723,69;306740,51;149662,70;296666,20;367803,49;328345,12;473946,22;380063,89;231661,04;1836582,46;264116,41;810227,99;1169196,76;666674,09;2206437,14;525265,64;539525,39;555973,59;1613934,11;4129700,75;7662813,22;28196147,64;61169208,98;152491356,24;295060348,29;266518815,76;270731405,26;250326926,87;306024319,37;313595128,59;325473509,95;270434860,13;135115612,77;2742806757,24
