 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan-Set/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"Total"
"41 Paraná";20236,14;-;-;-;-;-;3855,70;-;-;-;19347,14;-;-;-;-;-;-;-;3855,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19356,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3855,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;-;-;-;-;-;-;-;-;-;3855,70;11609,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28582,14;-;-;-;-;-;-;19347,14;-;-;-;-;-;-;71455,34;-;-;-;-;-;-;-;6666,26;-;-;7463,62;-;14255,15;5279,25;7463,62;11288,58;10662,11;10831,72;42163,46;89242,10;153907,31;1382778,52;5003313,14;8270422,69;20123583,35;34054325,38;62827245,04;120927222,82;114451277,24;112643767,45;96320293,08;108338139,10;108144782,49;99486403,30;80683379,27;40631382,52;1013866513,38
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11000,20;-;-;-;-;10903,00;-;-;11227,00;-;11583,40;-;-;-;-;10903,00;-;-;-;-;-;-;43636,20;10903,00;10360,70;-;21806,00;208484,64;890463,37;-;4257,74;-;23472,80;21087,04;-;-;-;-;24935,18;-;10903,00;5024,42;-;-;14674,04;-;28923,04;-;39994,85;19316,96;10903,00;-;-;21806,00;11097,40;56754,14;27854,40;21087,04;4463,68;8257,19;-;42174,08;42174,08;35574,20;30433,84;56013,00;730532,97;4954801,14;14817206,21;38610365,77;64890977,31;60080561,95;57227618,69;51637069,55;58213522,17;61071272,41;69470545,31;47844121,49;17503919,58;548854966,18
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3578,49;3777,30;-;-;-;-;-;10636,08;-;-;-;2398,10;-;-;-;9647,82;-;2556,26;23913,40;42204,61;45727,51;33723,36;90231,79;121484,38;535521,87;1346473,60;4528670,31;12917658,20;31009264,10;65327184,42;96900373,09;85415865,23;84930850,55;76606775,88;87090599,31;94469694,64;97966396,27;77408401,74;26336953,29;843194179,76
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13618,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4274,31;-;-;-;-;-;-;-;-;-;13618,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3955,18;292,62;20270,31;-;-;5090,06;-;90617,52;461189,92;1378992,78;4488311,98;8367388,65;14254491,44;19737694,95;18636185,45;18245718,70;16671882,49;18095936,58;19071868,53;18749843,92;11802442,95;3029290,96;173142975,62
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19347,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4066,57;15322,37;-;-;-;-;-;-;-;-;-;14454,05;-;-;-;12800,76;-;-;-;-;5621,36;-;-;20291,44;-;91834,15;531003,83;2090336,40;4565225,25;8106115,92;16939618,11;15369231,72;15072059,35;12497044,20;14850190,51;17758756,94;16873272,90;13935941,59;6703554,49;145476089,05
"52 Goiás";1530572,71;-;-;-;-;46997,43;21097,53;21398,28;23591,17;-;43092,36;-;-;20410,27;-;-;-;22272,49;-;1416,31;-;41459,27;20951,48;45221,34;21266,39;-;20782,98;-;27027,25;-;-;10574,20;20786,35;-;-;-;-;-;21290,02;-;41722,29;-;-;-;21664,26;62635,88;20579,39;-;-;46366,74;-;51087,17;-;63565,26;-;23222,81;-;27754,93;20852,46;41653,53;-;-;20505,06;48691,20;21689,58;-;42560,96;2474,05;-;46890,12;-;-;-;-;-;21953,27;21193,21;-;-;-;41030,04;-;20792,33;89712,81;-;-;42232,98;72730,84;20753,32;41869,72;22568,62;20555,52;46706,06;-;-;63987,23;48324,66;46109,62;65188,15;45305,61;-;22208,82;55705,01;72554,95;45195,90;20081,41;21199,81;21591,52;-;41786,09;78430,21;-;-;23901,58;21724,05;21373,56;41542,85;21083,89;62243,92;129082,94;108856,46;62452,51;42834,81;44357,28;108802,01;54195,36;138054,06;37655,58;52573,36;114642,07;80641,59;64887,25;6454,24;28828,68;52861,62;46620,62;140494,97;228866,25;500980,90;1864148,73;2234836,33;4073540,26;8215107,88;20334664,35;41054716,63;37983072,50;39031986,22;32294725,04;38108620,22;40463216,05;42332235,69;36983136,72;20797159,89;371681070,15
"53 Distrito Federal";19347,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10574,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8190,16;-;-;12021,05;-;13669,12;146724,21;428815,22;713456,71;3004271,10;5815781,46;10548127,40;15791114,01;14326996,32;15520325,74;14591058,98;17443441,77;20962528,74;21006583,61;15559525,11;7320718,63;163243270,68
"Total";24098840,08;183156,44;127651,06;93753,84;116168,91;204352,81;108222,28;188715,98;137128,78;238801,08;589996,24;39320,23;222867,57;102581,98;137945,96;143299,35;62309,56;104613,25;53124,18;125279,99;172083,95;146973,15;347672,60;97931,39;707212,60;30825,37;161475,29;83852,13;432588,78;164530,48;166981,87;1021557,90;126368,05;626811,56;262339,81;157782,06;209401,27;184148,74;190541,37;169312,78;112766,33;135365,71;171990,87;391923,72;200491,81;241612,41;170602,76;186345,30;295702,87;208420,33;157251,96;261688,11;105819,16;365912,47;284670,62;176597,20;362623,46;1188072,10;415477,21;701498,20;1055973,34;317820,58;380914,97;292732,06;373299,38;353812,26;231435,27;284126,95;203081,96;1845952,74;254767,33;301452,48;690591,53;203608,80;397364,37;262494,46;246488,44;412296,62;232270,89;805583,29;992971,02;260344,10;355770,05;523009,18;534613,67;421737,34;353128,55;358370,54;361494,44;613051,55;490145,02;473422,54;517449,01;482370,86;274338,77;420211,15;962868,69;448691,06;802783,98;657768,81;320653,14;560454,33;3758052,57;1099077,32;484204,88;410954,56;415193,85;840770,09;704192,22;707018,32;604266,46;315525,76;606416,55;389112,32;375807,64;855246,13;472863,89;842304,04;549990,85;634418,06;752840,97;678058,01;375849,46;556701,11;823015,68;653226,21;993987,39;885018,93;575949,31;2439803,99;712884,41;1338158,43;1955547,40;1799309,87;3083043,80;1517701,58;1970257,27;2785941,08;7172589,87;20904023,43;52675381,48;175891094,47;357501566,68;760705914,08;1333867679,06;1218465735,61;1224480533,93;1089373229,32;1296343493,54;1336519805,51;1331406746,87;1037023772,89;475675652,03;11814974998,02
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
